0.0000,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.0201,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.0402,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.0603,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.0805,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.1007,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.1209,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.1409,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.1610,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.1811,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.2016,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.2215,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.2417,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.2618,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.2820,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.3024,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.3224,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
